name,class,z,u-r,x_c,y_c,ns,r_s,q,phi,psi_11,psi_12,psi_22,psi_111,psi_112,psi_122,psi_222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis,T,T_err,F
PGC0011067,spiral,0.01653,2.94956,2.288520346,0.809639045,0.797206713,2.566314085,8.79962705,-0.161727887,0,0,0,-0.000977145,-0.001239519,-0.005435499,-0.031845403,1.437682814,-0.003206322,-0.016542461,25.26942063,-501.122685,80.14293036,-13.17374208,2.036384681,-0.000854222,0.005874422,0,1,0.416914662,1.244466959,2.738732105,5.927983093,6,2,0.016850327
PGC0011112,spiral,0.02294,2.08693,-0.891822292,-0.804023331,0.748979501,18.39401911,1.647804963,1.382938803,0,0,0,-0.003602653,0.001139657,0.001456569,0.000880492,2.315147209,-0.001073042,0.001010075,35.68468205,658.9744269,-2850.580153,-229.5033871,-19098.33714,0.000272775,-0.002673067,0,0,1.544339997,2.201083988,0.748449348,-1.368805087,5,2,0.001473659
PGC0011148,spiral,0.01732,1.99398,-3.403985437,-0.507120654,0.59800246,17.94833625,1.693408749,-0.285353569,0,0,0,0.001026936,-0.000253868,0.000157958,0.000545876,2.824147588,0.000592447,0.000146004,28.04066332,-966.0514684,-56.21443595,124.974265,-178.887947,0.000268142,-0.002336507,0,0,1.037426928,1.797569261,1.24767928,-0.148985822,4,0,0.000610173
PGC0011170,early,0.02914,2.76922,-2.611343822,-0.470732444,3.30609556,0.052379325,1.297249439,0.50647331,0,0,0,0.00116832,-0.000441088,-0.000124504,-0.001032653,1.129947092,0.000521908,-0.00073687,30.75675417,295.091737,6.846311296,149.3166356,-92.80652915,0.000182269,0.000165163,0,0,1.682187308,2.862555752,1.441243984,1.759875065,-5,0,0.000902976
PGC0011598,spiral,0.02308,2.3068,0.540620488,0.126365694,1.646726447,0.855268403,5.832567037,0.0914171,0,0,0,-0.00049124,0.000383935,-0.002283496,0.015174421,1.639455012,-0.001387368,0.007779178,29.96943796,-1061.72229,-40.22683418,-8.756537096,7.792969582,-0.001988915,0.013676971,0,1,0.462948864,1.227004418,2.430328227,4.745816802,6,1,0.007901924
PGC0011767,spiral,0.02898,2.37616,-6.000000002,-3.000000011,2.11494752,0.852615534,2.047747298,-1.362479882,0,0,0,0.002605507,-0.000735439,-0.003562536,0.001763222,4.213674306,-0.000478515,0.000513891,31.03857331,-115.0462192,83.85624819,-169.3976705,373.8779581,0.001942223,0.000787527,0,0,1.240107137,2.450997045,1.524918646,0.560444923,4,2,0.000702183
PGC0011813,spiral,0.01244,2.25353,1.652244459,0.60425552,2.082971568,1.707610674,1.961516974,0.762222987,0,0,0,-0.001062539,-0.000236676,-0.003114534,-0.000566976,1.621844877,-0.002088536,-0.000401826,46.11845464,-1886.590837,-1335.257035,-1236.728483,-2202.302222,-0.000802465,-0.000682421,0,0,1.687231429,2.034057676,0.403383042,-1.757287718,5,0,0.00212684
PGC0011919,spiral,0.02697,2.93646,-0.114621128,0.861850525,2.666257744,0.13613216,3.014845539,-1.058176351,0,0,0,0.000221173,0.001968289,0.007225603,-0.000690604,2.938929469,0.003723388,0.000638843,28.86357864,103.4029747,-163.4210262,225.2729392,-289.9507104,-9.98E-05,-0.000284171,0,0,0.528346304,1.197257327,1.995841377,2.965720012,4,0,0.003777795
PGC0012163,spiral,0.02275,2.57877,-0.258090056,1.071479507,1.149966529,3.395383976,3.729388608,0.62126753,0,0,0,-0.001169234,0.002789526,-0.0025291,0.003899738,2.145706856,-0.001849167,0.003344632,28.99721631,1111.436986,753.684257,595.3818474,525.8295294,-0.002922501,-0.000453029,0,0,0.675926942,1.488564804,1.913080645,2.406803331,6,2,0.003821778
PGC0012531,spiral,0.02097,2.12036,0.681047909,0.524690065,1.258053691,4.323132488,2.281549681,1.07159507,0,0,0,-0.0031013,0.002736622,-0.00064791,0.002742263,3.513521307,-0.001874605,0.002739443,27.4806666,61.52906672,138.0140201,274.7056105,719.675715,-0.00433731,0.003291644,0,0,0.778270399,1.468880836,1.549923305,1.190656552,5,1,0.003319441
PGC0012560,spiral,0.02105,1.80291,-4.000000001,8.000000001,2.316810184,0.942783693,1,-1.95812088,0,0,0,0.004380757,0.001668636,-0.000300553,-0.000779391,11.78690448,0.002040102,0.000444622,26.1101717,982.1999561,-1450.145105,52.09215028,-1726.574439,0.000258607,-0.00146452,0,0,0.679619363,1.565723895,2.347039653,6.580982236,5,0,0.00208799
PGC0012620,spiral,0.02656,2.88586,-1.356083971,3.796273414,1.475245832,1.453804677,6.642188497,0.794149374,0,0,0,0.004513146,-5.79E-05,0.001016482,-0.004217509,0.984830762,0.002764814,-0.002137722,37.43108091,1602.493632,576.8293963,-357.5502603,-1426.163845,0.003689568,-0.00491506,0,0,0.909605766,1.967518158,1.717623731,1.007976703,5,2,0.003494861
PGC0012655,spiral,0.02291,2.09594,2.81629669,0.860785708,0.915340641,18.90175915,1.119470851,0.41369215,0,0,0,-5.53E-05,-0.000764072,-0.00081542,-0.001504715,3.024269517,-0.00043538,-0.001134393,38.72946434,-2096.786084,-337.1183211,-701.0866231,-1235.737876,-0.001136968,-0.000451007,0,0,2.376147421,2.378899102,0.049372406,-1.843235948,4,2,0.001215074
PGC0012801,early,0.03449,1.72177,-2.680532559,2.701834433,3.128878798,0.053430242,1.063053725,-1.44295681,0,0,0,-0.001372133,-0.002598375,-0.001312713,-0.004071927,18.32585906,-0.001342423,-0.003335151,19.79909201,-27.71014191,36.01289242,91.88641934,-223.6696071,0.000940849,-0.000232953,0,0,1.20567402,3.427639958,3.505072421,16.81865657,-6,0,0.003595182
PGC0013117,spiral,0.03045,2.7908,1,-1.000000004,1.788178835,1.379472279,2.665124681,-1.38135569,0,0,0,-0.002029254,-0.000290543,-0.000626642,0.001188889,4.532440945,-0.001327948,0.000449173,31.03413775,-126.3896547,184.6802204,-209.0648922,1170.044824,3.76E-05,4.00E-06,0,0,1.268691574,2.509418102,1.580125093,0.959231719,4,2,0.001401857
PGC0013204,spiral,0.03406,2.75582,-4.70326562,-2.041288317,1.639618522,0.771390195,6.16038184,0.499039673,0,0,0,-0.001572686,0.002597949,-0.003647228,0.007259149,2.567426911,-0.002609957,0.004928549,27.42885886,-134.3811815,-39.73952085,-2.493150431,15.46900874,-8.30E-05,0.000342211,0,0,0.355690343,1.1362509,3.184222844,10.14091045,5,2,0.005576959
PGC0013218,early,0.01759,2.69261,0.138877463,0.376105312,5.175114115,0.000144707,1.286593451,-0.856941381,0,0,0,0.000946263,0.000331753,0.000559918,-0.000663963,1.792002984,0.00075309,-0.000166105,21.86837112,70.64815393,-27.43333137,43.97850111,-10.650552,0.000383058,-0.000104467,0,1,0.595583133,1.583162844,2.962681008,13.79446726,-3,0,0.000771191
