name,class,z,u-r,x_c,y_c,ns,r_s,q,phi,psi_11,psi_12,psi_22,psi_111,psi_112,psi_122,psi_222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis
COSMOS_1535,early,1.75,2.18,-2.945622845,-2.389106137,2.093852786,0.305733334,1.091042126,0.119782982,0,0,0,0.013789664,-0.000577312,-0.003465586,0.000262819,0.547140721,0.005162039,-0.000157247,8.134605591,6.304470404,-3.645532874,2.4409091,10.68435775,0.000797566,0.000812992,0,0,0.000137528,0.000632715,4.393211509,17.35007375
COSMOS_1309,early,0.313,1.39,-3.041444577,-1.368330243,0.981278634,2.46569184,1.140051,0.099780658,0,0,0,0.013464588,-0.000165822,0.00679024,0.000857056,0.506823258,0.010127414,0.000345617,6.730047571,-5.125224572,-0.601074044,-9.266981979,-2.288614797,-0.002969507,-0.001209592,0,0,0.000117187,0.000587489,4.833385118,21.4678523
COSMOS_1598,early,0.686,2.44,-1.686124604,-0.966059193,1.892867091,0.690791118,1.337085274,0.304095883,0,0,0,0.007936724,0.000252628,0.00271091,0.003030098,0.592919816,0.005323817,0.001641363,12.8693477,30.14559991,41.2250847,-32.99959859,85.66140964,-0.000246648,0.001958131,0,0,0.000434364,0.001157603,2.301614019,3.334986436
COSMOS_1948,early,1.692,2.26,-0.385321204,-0.971612643,2.42531036,0.209477728,1.189707576,-0.329424213,0,0,0,-0.008712855,-0.003947269,-0.00477709,-0.006891904,0.994731448,-0.006744972,-0.005419587,11.472929,-101.5878085,-38.26702786,-43.19710044,61.65757701,-0.003469471,0.000444542,0,0,0.000468569,0.001447536,2.79931211,5.960216675
COSMOS_1528,spiral,0.692,1.25,0.658438032,-4.547420874,0.295420766,14.14054985,1.001198448,-0.868640957,0,0,0,-0.016098104,-0.001260651,-0.007724128,0.028813873,0.390227674,-0.011911116,0.013776611,13.40820553,-116.612931,-7.785136198,-13.0751794,679.0558716,-0.000993138,0.02420786,0,1,0.000439008,0.001165465,2.28994891,3.281586926
COSMOS_1806,early,0.891,2.26,-2.451152169,-1.190632423,1.990235048,0.434308472,1.157441661,0.683767369,0,0,0,0.010949431,-0.000916782,0.003358474,-0.011499149,1.052508731,0.007153953,-0.006207965,10.13788,12.23717476,-3.48853591,11.78321727,24.7064979,0.000846149,0.000695031,0,0,0.000239279,0.000820541,3.150911412,7.979719629
COSMOS_1498,early,0.744,0.26,-0.529633698,-0.942286404,1.612336815,0.399772623,1.095060982,0.252608741,0,0,0,-0.079067753,-0.015481405,0.034746507,-0.041419305,0.841681746,-0.022160623,-0.028450355,5.809410084,-74.05055373,-3.71334294,1.974008271,-4.194204131,-0.016128445,-0.014147812,0,1,0.000106658,0.000609952,5.566792566,29.12991456
COSMOS_1589,spiral,0.759,0.85,-1.511790831,0.064661971,0.399655187,4.204703773,2.226557079,-0.557441112,0,0,0,-0.022950192,-0.013457497,-0.028772468,-0.020998671,0.410721563,-0.02586133,-0.017228084,7.109311972,12.40468347,17.90687935,-8.962552003,9.172054088,0.012704643,-0.000298284,0,1,0.000145492,0.000709941,4.693672861,20.13206172
COSMOS_1664,spiral,0.846,1.59,-3.046756192,-1.438915101,1.250306422,1.895389021,1.621680084,-0.936957368,0,0,0,0.008104918,0.000317092,0.001966812,0.001055831,0.418506882,0.005035865,0.000686462,9.801450242,-5.250222721,-11.48571487,7.653977616,6.534308804,-0.00033148,-1.39E-05,0,0,0.000228078,0.000802883,3.248412452,8.600514803
COSMOS_1815,early,0.942,1.34,-0.198189984,-1.037324922,0.87488242,3.113203628,1.397020946,-1.279023043,0,0,0,-0.023124445,-0.002387304,-0.012476846,-0.014904905,1.019121464,-0.017800646,-0.008646105,7.93636285,-7.559927535,2.900723047,-17.334386,-9.35277067,-0.002698336,-0.000960991,0,1,0.000254726,0.001089688,4.07382591,14.75880601
